OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
707,Singing and listening Songs travelling reading self- help books,singing and listening songs travelling reading self  help books,"Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel)"
708,Physical sports trekking ,physical sports trekking,"Sports (sport), Travel & Adventure (trek)","Sports (sport), Travel & Adventure (trek)"
709,Chess,chess,Sports (chess),Sports (chess)
710,Cinema ,cinema,Entertainment (cinema),Entertainment (cinema)
711,.,,,None (explicit none match)
712,Playing Badminton ,playing badminton,Sports (badminton),Sports (badminton)
713,Football and reading ,football and reading,"Sports (football), Reading & Writing (read)","Reading & Writing (read), Sports (football)"
714,No such hobbies. I loke to do what I am doing nicely and perfectly.,no such hobbies  i loke to do what i am doing nicely and perfectly,Technology & Coding (doing),Technology & Coding (doing)
715,Hobbies - Dance  Intrest- Trekking ,hobbies   dance  intrest  trekking,"Music & Dance (dance), Travel & Adventure (trek)","Music & Dance (dance), Travel & Adventure (trek)"
716,Drawing and playing games ,drawing and playing games,"Arts & Crafts (drawing), Gaming (game)","Arts & Crafts (drawing), Gaming (game)"
717,Playing kabaddi ,playing kabaddi,Sports (kabaddi),Sports (kabaddi)
718,Dancing and watching movies,dancing and watching movies,"Music & Dance (dancing), Entertainment (movie)","Entertainment (movie), Music & Dance (dancing)"
719,Like to play video games,like to play video games,Gaming (game),Gaming (game)
720,Doodling  drawing,doodling  drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
721,Drawing reading ,drawing reading,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
722,Chess  reading novels kabaddi,chess  reading novels kabaddi,"Sports (chess), Reading & Writing (read)","Reading & Writing (read), Sports (chess)"
723,Art and playing games,art and playing games,"Arts & Crafts (art), Gaming (game)","Arts & Crafts (art), Gaming (game)"
724,MusicSongs,musicsongs,Music & Dance (music),Music & Dance (music)
725,Dancing swimming singing,dancing swimming singing,"Sports (swim), Music & Dance (singing)","Music & Dance (singing), Sports (swim)"
726,Listening to Music ,listening to music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
727,Sketching ,sketching,Arts & Crafts (sketching),Arts & Crafts (sketching)
728,Making mechanical projects,making mechanical projects,"Technology & Coding (mechanical), Business & Finance (project)","Business & Finance (project), Technology & Coding (mechanical)"
729,Interested in playing games ,interested in playing games,Gaming (game),Gaming (game)
730,Guitar singing travelling on motorcycle.,guitar singing travelling on motorcycle,"Music & Dance (singing), Travel & Adventure (travel), Automotive & Racing (motorcycle)","Automotive & Racing (motorcycle), Music & Dance (singing), Travel & Adventure (travel)"
731,Music Gaming Basketball Running,music gaming basketball running,"Sports (basketball), Music & Dance (music), Gaming (gaming), Fitness & Gym (running)","Fitness & Gym (running), Gaming (gaming), Music & Dance (music), Sports (basketball)"
732,Art ,art,Arts & Crafts (art),Arts & Crafts (art)
733,Coding Reading,coding reading,"Reading & Writing (read), Technology & Coding (coding)","Reading & Writing (read), Technology & Coding (coding)"
734,Badminton sketching drawing,badminton sketching drawing,"Sports (badminton), Arts & Crafts (drawing)","Arts & Crafts (drawing), Sports (badminton)"
735,Reading and listening to music,reading and listening to music,"Music & Dance (music), Reading & Writing (read), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music), Reading & Writing (read)"
736,Playing chess,playing chess,Sports (chess),Sports (chess)
737,Teaching ,teaching,Education & Study (teaching),Education & Study (teaching)
